date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-07-23,7925,8025,7550,7825,33058300,BREN,-0.006349206349206327,-0.17414248021108236,825858,-0.63,-17.41
2025-07-24,7825,7950,7700,7725,20312400,BREN,-0.012779552715655007,-0.18469656992084493,815303,-1.28,-18.47
2025-07-25,7725,7775,7500,7650,20860300,BREN,-0.009708737864077666,-0.19261213720316683,807388,-0.97,-19.26
2025-07-28,7650,7950,7625,7925,29391500,BREN,0.03594771241830075,-0.1635883905013198,836412,3.59,-16.36
2025-07-29,8000,8000,7800,7925,21903100,BREN,0.0,-0.1635883905013198,836412,0.0,-16.36
2025-07-30,8000,8100,7750,7825,22115500,BREN,-0.012618296529968487,-0.17414248021108236,825858,-1.26,-17.41
2025-07-31,7825,7875,7700,7825,10829100,BREN,0.0,-0.17414248021108236,825858,0.0,-17.41
2025-08-01,7900,7925,7775,7800,15546700,BREN,-0.0031948881789137795,-0.17678100263852303,823219,-0.32,-17.68
2025-08-04,7800,7800,7150,7200,38666700,BREN,-0.07692307692307687,-0.24010554089709812,759894,-7.69,-24.01
2025-08-05,7225,7300,6775,7075,35004600,BREN,-0.01736111111111116,-0.25329815303430137,746702,-1.74,-25.33
2025-08-06,7200,7450,7075,7225,21124000,BREN,0.021201413427561766,-0.23746701846965768,762533,2.12,-23.75
2025-08-07,7325,7375,7025,7250,25660000,BREN,0.0034602076124568004,-0.234828496042217,765172,0.35,-23.48
2025-08-08,7925,8050,7375,7950,73663400,BREN,0.096551724137931,-0.16094986807387934,839050,9.66,-16.09
2025-08-11,8050,8825,7850,8750,84544500,BREN,0.10062893081761004,-0.07651715039577922,923483,10.06,-7.65
2025-08-12,8900,9325,8825,9100,72575500,BREN,0.040000000000000036,-0.03957783641161039,960422,4.0,-3.96
2025-08-13,9150,9450,8875,9100,55874800,BREN,0.0,-0.03957783641161039,960422,0.0,-3.96
